marque;modele;prix;annee;kilometrage;energie;nombre chevaux;code postal
Renault;Arkana;21900;2022;55442;essence;14521;77120
Toyota;Yaris;19990;2021;30818;essence;1165;78240
Renault;Arkana;20490;2022;38683;essence;145;13120
Dacia;Duster;21480;2023;9871;essence;15042;69700
Renault;Arkana;16890;2021;22999;essence;14022;77186
Renault;Arkana;18299;2020;71839;Diesel;140;41250
Renault;Captur;19499;2021;49395;essence;14521;59300
Renault;Captur;20490;2021;91046;essence;14521;83160
Renault;Arkana;18480;2021;68206;hybride;140;21200
Renault;Captur;16490;2024;7626;essence;16021;83400
Renault;Captur;19990;2022;61755;essence;160;83400
Renault;Arkana;21480;2023;16950;essence;145;89100
Renault;Captur;19499;2021;49395;essence;14521;59300
Renault;Captur;20490;2021;91046;essence;14521;83160
Renault;Arkana;18480;2021;68206;hybride;140;21200
Renault;Captur;16490;2024;7626;essence;16021;83400
Renault;Captur;19990;2022;61755;essence;160;83400
Renault;Arkana;21480;2023;16950;essence;145;89100
Renault;Clio;16780;2022;46575;essence;14021;91940
Renault;Captur;24380;2023;19408;Diesel;145;78700
Renault;Arkana;24190;2022;52370;Diesel;14521;72000
Peugeot;308;29900;2023;43245;essence;3081308;95520
Renault;Captur;20490;2021;39140;essence;115;58640
Peugeot;2008;20790;2024;20963;essence;121558;59187
Renault;Clio;17499;2022;71311;essence;14021;59494
Renault;Clio;16890;2021;37000;essence;90;77186
Renault;Captur;27990;2024;9000;essence;145;69140
Renault;Captur;19490;2024;12680;essence;16021;83500
Mercedes-Benz;Classe C;37990;2020;94283;Diesel;3002111229;37170
Renault;Arkana;18990;2023;19508;essence;16022;59494
Audi;A3;17990;2022;9880;essence;402007;67210
Renault;Arkana;16890;2021;34866;essence;14523;33520
Peugeot;208;11900;2019;96031;essence;12110665;67500
Renault;Clio;20790;2023;14880;essence;14021;92400
Volkswagen;T-Roc;24350;2021;44554;essence;1521507;67800
Renault;Captur;19499;2024;28200;essence;14021;92000
Renault;Arkana;16990;2023;18110;essence;14022;33520
Renault;Captur;21490;2022;26857;essence;14521;83400
Renault;Arkana;18790;2021;31882;essence;14022;71000
Renault;Clio;15480;2021;93791;essence;109021;85000
